"Start","Finish","Distance (mi)","Steps (count)"
"27-Nov-2016 00:00","28-Nov-2016 00:00","0.901434735798142","2287"
"28-Nov-2016 00:00","29-Nov-2016 00:00","1.98704310789127","5724"
"29-Nov-2016 00:00","30-Nov-2016 00:00","3.47533235337445","9502"
"30-Nov-2016 00:00","01-Dec-2016 00:00","2.8936407821419","7635"
"01-Dec-2016 00:00","02-Dec-2016 00:00","2.38367196502864","6692"
"02-Dec-2016 00:00","03-Dec-2016 00:00","2.57017607007212","7229.37684763838"
"03-Dec-2016 00:00","04-Dec-2016 00:00","2.44552294415412","6512.62315236162"
"04-Dec-2016 00:00","05-Dec-2016 00:00","2.30697116909812","6099"
"05-Dec-2016 00:00","06-Dec-2016 00:00","1.11477161056959","3245"
"06-Dec-2016 00:00","07-Dec-2016 00:00","2.31241600963231","6391"
"07-Dec-2016 00:00","08-Dec-2016 00:00","0.876647641940823","2474"
"08-Dec-2016 00:00","09-Dec-2016 00:00","0.782175883372866","2260"
"09-Dec-2016 00:00","10-Dec-2016 00:00","3.97393820984012","11737"
"10-Dec-2016 00:00","11-Dec-2016 00:00","1.68263254094294","5104"
"11-Dec-2016 00:00","12-Dec-2016 00:00","2.18335867094454","5823"
"12-Dec-2016 00:00","13-Dec-2016 00:00","0.601161980101259","1641"
"13-Dec-2016 00:00","14-Dec-2016 00:00","3.1589427119674","8380"
"14-Dec-2016 00:00","15-Dec-2016 00:00","0.919428251289392","2383"
"15-Dec-2016 00:00","16-Dec-2016 00:00","0.972355156493348","2691"
"16-Dec-2016 00:00","17-Dec-2016 00:00","0.811024753793149","2378"
"17-Dec-2016 00:00","18-Dec-2016 00:00","2.92080029768019","7875"
"18-Dec-2016 00:00","19-Dec-2016 00:00","0.32875793851759","1116"
"19-Dec-2016 00:00","20-Dec-2016 00:00","2.79592820885297","7586"
"20-Dec-2016 00:00","21-Dec-2016 00:00","3.12063907696931","8136"
