Datum,Stampfenbachstrasse_PM10,Schimmelstrasse_PM10,Rosengartenstrasse_PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-15,NaN,21.31,20.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-16,NaN,25.09,21.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,NaN,26.08,22.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18,25.48,25.43,26.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,24.78,26.41,26.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-20,14.04,18.56,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21,7.2,8.54,9.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,20.41,19.58,19.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23,16.88,15.88,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,21.7,21.46,21.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25,20.42,20.61,21.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-26,25.55,26.84,25.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27,18.3,20.33,18.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-28,19.48,19.44,17.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29,22.13,22.29,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,22.6,16.47,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,20.01,17.45,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-02,16.43,16.78,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03,20.47,26.37,24.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-04,23.41,25.15,26.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-05,16.99,20.61,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-06,11.7,14.99,15.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-07,13.26,17.71,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-08,15.27,16.66,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-09,14.56,20.23,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,12.47,17.01,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-11,11.15,14.93,12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-12,13.32,15.46,13.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,16.21,14.44,15.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-14,14.2,15.04,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,13.79,16.48,14.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,13.69,10.53,14.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-17,11.79,12.71,12.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-18,15.3,17.31,15.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-19,16.71,14.48,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-20,23.36,22.89,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,25.3,9.77,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-22,11.12,7.74,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-23,14.15,13.88,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
